CLIENTE,NOME_FANTASIA,CNPJ,CPF,UNIDADE,ESTADO,CIDADE,INICIO,REAJUSTE_TIPO,ASOS_RAPEL,ASOS_EMPRESA,valor_fixo,limite_func,valor_por_func_acima,reajuste_text,reajuste_percent
AGROTERRA AGROVETERINARIA LTDA,AGROTERRA AGROVETERINARIA,46.746.748/0001-39,,SAO FRANCISCO,MG,São Francisco,NOVEMBRO 2025,IGPM ≥ 12%,,A/D/M/R/P,150.0,5.0,15.0,,
AQUI MOVEIS LTDA,AQUI MOVEIS,86.627.288/0001-44,,SAO FRANCISCO,MG,Icaraí de Minas,FEVEREIRO 2023,IGPM/INPC,,A/D/M/R/P,225.25,5.0,16.89,"REAJUSTADO IGPM 8,44% - 2025",8.44
CINTIA ARAUJO VIEIRA LTDA.,CASA DO MARCENEIRO,43.097.943/0001-97,,SAO FRANCISCO,MG,São Francisco,OUTUBRO 2024,IGPM ≥ 12%,,A/D/M/R/P,89.6,2.0,20.16,REAJUSTADO 12% - 2025,12.0
CLINICA VIEIRA SOUTO LTDA,ODONTOCOMPANY,47.523.285/0001-09,,SAO FRANCISCO,MG,São Francisco,MAIO 2025,IGPM ≥ 12%,,A/D/M/R/P,15.0,5.0,15.0,,
COMERCIO DE MATERIAIS PARA CONSTRUCAO PARAIZO LTDA,CASA DO PESCADOR,33.882.426/0001-75,,SAO FRANCISCO,MG,São Francisco,MARÇO 2024,IGPM/INPC,A/D,M/R/P,100.0,10.0,15.0,,
FABIO RUAS GONCALVES,FABIO RUAS GONCALVES,13.650.611/0001-27,,SAO FRANCISCO,MG,São Francisco,JANEIRO 2024,IGPM,,A/D/M/R/P,89.07,2.0,16.7,"REAJUSTADO INPC 4,3031% - 2026",4.3031
FERREIRA MOURA SERVICOS MEDICOS LTDA.,LIVEMED CLINICA INTEGRADA,21.960.906/0001-28,,SAO FRANCISCO,MG,São Francisco,MARÇO 2023,IGPM/INPC,,A/D/M/R/P,168.41,3.0,16.84,"REAJUSTADO IGPM 8,58% - 2025",8.58
FREITAS COMERCIO DE CARNES E SERVICOS LTDA,FREITAS COMERCIO DE CARNES E SERVICOS,53.300.293/0001-99,,SAO FRANCISCO,MG,São Francisco,JULHO 2024,IGPM/INPC,,A/D/M/R/P,130.1,9.0,16.26,"REAJUSTADO IGPM 2,96% - 2025",2.96
GRAFICA MG DE SAO FRANCISCO LTDA,GRAFICA SAO FRANCISCO,02.079.864/0001-76,,SAO FRANCISCO,MG,São Francisco,FEVEREIRO 2023,IGPM/INPC,,A/D/M/R/P,168.94,2.0,13.51,"REAJUSTADO IGPM 8,44% - 2025",8.44
IARA NUNES DA COSTA,PAGUE POUCO DRUGSTORE,40.734.714/0001-48,,SAO FRANCISCO,MG,São Francisco,ABRIL 2024,IGPM/INPC,,A/D/M/R/P,108.5,3.0,13.02,"REAJUSTADO IGPM 8,50% - 2025",8.5
LUIZ GUILHERME BISPO DA PAZ,GUIGA LANCHES,20.024.167/0001-08,,SAO FRANCISCO,MG,São Francisco,FEVEREIRO 2023,IGPM/INPC,,A/D/M/R/P,135.15,2.0,16.89,"REAJUSTADO IGPM 8,44% - 2025",8.44
MESSIAS MENDES DE ALMEIDA,MESSIAS MENDES DE ALMEIDA,08.221.953/0001-91,,SAO FRANCISCO,MG,São Francisco,DEZEMBRO 2024,IGPM ≥ 12%,,A/D/M/R/P,135.0,7.0,15.0,,
RADIO VOZ DO SAO FRANCISCO LTDA,RADIO VOZ DO SAO FRANCISCO,21.453.485/0002-20,,SAO FRANCISCO,MG,São Francisco,JUNHO 2023,IGPM ≥ 10%,,A/D/M/R/P,169.4,7.0,18.15,REAJUSTADO 10% - 2025,10.0
SUPERMERCADO JL DE SAO FRANCISCO LTDA,SUPERMERCADO JL,08.746.707/0001-53,,SAO FRANCISCO,MG,São Francisco,OUTUBRO 2025,IGPM/INPC,,A/D/M/R/P,203.95,18.0,12.88,"REAJUSTADO IGPM 3,03% - 2025",3.03
VIASATDIGITAL TELECOM LTDA,CLITE,11.290.677/0001-28,,SAO FRANCISCO,MG,São Francisco,AGOSTO 2019,NEGOCIAÇÃO,,A/D/M/R/P,287.21,20.0,21.54,"REAJUSTADO IPCA  5,1305% - 2025",5.1305
VSFIBRA SERVICE PROVIDER LTDA,VSFIBRA,48.864.655/0001-34,,SAO FRANCISCO,MG,Chapada Gaúcha,DEZEMBRO 2024,IGPM ≥ 12%,,A/D/M/R/P,201.6,3.0,16.8,12%,12.0
